Overall index rank,State,Index score,Inclusion subindex score,Justice subindex score,Security subindex score,Resident population,Per capita real GDPa,Racial diversity scoreb,Urban share of population,State government spending per capitac,State government control by Democratsd,,,,,,,,,,,,,,,,,
,Year ,2020,2020,2020,2020,2019,2019,2014,2010.0,2017,2000-2020,,,,,,,,,,,,,,,,,
1,Massachusetts,0.709,0.631,0.773,0.730,"6,892,503"," 75,258 ",0.8,92.0," 11,303 ",8,,,,,,,,,,,,,,,,,
2,Connecticut,0.696,0.614,0.735,0.748,"3,565,287"," 69,789 ",0.9,88.0," 9,489 ",8,,,,,,,,,,,,,,,,,
3,District of Columbia,0.695,0.768,0.647,0.675,"705,749"," 178,442 ",1.2,100.0," 19,053 ",20,,,,,,,,,,,,,,,,,
4,Vermont,0.691,0.663,0.621,0.799,"623,989"," 48,855 ",0.3,38.9," 11,774 ",6,,,,,,,,,,,,,,,,,
5,Rhode Island,0.679,0.584,0.657,0.815,"1,059,361"," 51,963 ",0.8,90.7," 10,302 ",8,,,,,,,,,,,,,,,,,
6,New Hampshire,0.652,0.667,0.622,0.669,"1,359,711"," 57,272 ",0.4,60.3," 8,222 ",6,,,,,,,,,,,,,,,,,
7,Maryland,0.639,0.719,0.548,0.663,"6,045,680"," 61,926 ",1.1,87.2," 10,046 ",11,,,,,,,,,,,,,,,,,
8,New York,0.634,0.553,0.736,0.627,"19,453,561"," 75,131 ",1.2,87.9," 14,381 ",8,,,,,,,,,,,,,,,,,
9,Maine,0.632,0.561,0.668,0.675,"1,344,212"," 43,541 ",0.3,38.7," 8,703 ",10,,,,,,,,,,,,,,,,,
10,Hawaii,0.626,0.601,0.675,0.605,"1,415,872"," 58,981 ",1.2,91.9," 9,834 ",13,,,,,,,,,,,,,,,,,
11,New Jersey,0.607,0.628,0.640,0.558,"8,882,190"," 63,492 ",1.1,94.7," 10,482 ",9,,,,,,,,,,,,,,,,,
12,Minnesota,0.606,0.596,0.605,0.616,"5,639,632"," 60,066 ",0.6,73.3," 10,600 ",2,,,,,,,,,,,,,,,,,
13,Illinois,0.602,0.550,0.711,0.558,"12,671,821"," 61,713 ",1,88.5," 9,168 ",14,,,,,,,,,,,,,,,,,
14,Colorado,0.565,0.712,0.619,0.409,"5,758,736"," 61,311 ",0.9,86.2," 8,959 ",8,,,,,,,,,,,,,,,,,
15,California,0.564,0.498,0.702,0.514,"39,512,223"," 70,662 ",1.3,95.0," 11,560 ",14,,,,,,,,,,,,,,,,,
16,Wisconsin,0.559,0.477,0.564,0.651,"5,822,434"," 52,534 ",0.6,70.2," 9,288 ",3,,,,,,,,,,,,,,,,,
17,Pennsylvania,0.545,0.470,0.598,0.575,"12,801,989"," 56,868 ",0.7,78.7," 10,102 ",0,,,,,,,,,,,,,,,,,
18,Oregon,0.541,0.553,0.680,0.422,"4,217,737"," 52,726 ",0.7,81.0," 10,807 ",13,,,,,,,,,,,,,,,,,
19,Nebraska,0.537,0.511,0.528,0.573,"1,934,408"," 59,386 ",0.6,73.1," 9,177 ",0,,,,,,,,,,,,,,,,,
20,North Dakota,0.529,0.494,0.523,0.572,"762,062"," 70,991 ",0.5,59.9," 12,842 ",0,,,,,,,,,,,,,,,,,
21,Michigan,0.527,0.440,0.619,0.536,"9,986,857"," 47,448 ",0.8,74.6," 8,528 ",0,,,,,,,,,,,,,,,,,
22,Delaware,0.524,0.478,0.538,0.560,"973,764"," 64,985 ",1,83.3," 11,167 ",13,,,,,,,,,,,,,,,,,
23,Iowa,0.521,0.464,0.467,0.653,"3,155,070"," 55,051 ",0.4,64.0," 9,864 ",5,,,,,,,,,,,,,,,,,
24,Washington,0.520,0.617,0.640,0.357,"7,614,893"," 69,761 ",0.9,84.1," 10,037 ",15,,,,,,,,,,,,,,,,,
25,Ohio,0.506,0.408,0.510,0.623,"11,689,100"," 52,664 ",0.6,77.9," 9,201 ",0,,,,,,,,,,,,,,,,,
26,Kansas,0.485,0.486,0.495,0.475,"2,913,314"," 53,528 ",0.7,74.2," 9,252 ",0,,,,,,,,,,,,,,,,,
26,Virginia,0.485,0.568,0.366,0.550,"8,535,519"," 56,938 ",1,75.5," 8,705 ",1,,,,,,,,,,,,,,,,,
28,Alaska,0.482,0.628,0.580,0.308,"731,545"," 74,422 ",1.2,66.0," 17,198 ",0,,,,,,,,,,,,,,,,,
29,South Dakota,0.470,0.459,0.397,0.568,"884,659"," 52,913 ",0.5,56.7," 8,091 ",0,,,,,,,,,,,,,,,,,
30,Florida,0.461,0.434,0.476,0.474,"21,477,737"," 44,267 ",1.1,91.2," 7,346 ",0,,,,,,,,,,,,,,,,,
31,Arizona,0.453,0.478,0.477,0.408,"7,278,717"," 44,161 ",1.1,89.8," 6,838 ",0,,,,,,,,,,,,,,,,,
32,Montana,0.446,0.440,0.433,0.466,"1,068,778"," 44,145 ",0.5,55.9," 8,967 ",0,,,,,,,,,,,,,,,,,
32,North Carolina,0.446,0.417,0.406,0.526,"10,488,084"," 48,496 ",1,66.1," 7,848 ",10,,,,,,,,,,,,,,,,,
34,Indiana,0.435,0.391,0.366,0.577,"6,732,219"," 49,321 ",0.6,72.4," 7,961 ",0,,,,,,,,,,,,,,,,,
35,Nevada,0.432,0.567,0.590,0.240,"3,080,156"," 50,043 ",1.2,94.2," 7,384 ",2,,,,,,,,,,,,,,,,,
36,Utah,0.400,0.422,0.346,0.438,"3,205,958"," 51,407 ",0.7,90.6," 8,379 ",0,,,,,,,,,,,,,,,,,
37,Georgia,0.383,0.464,0.301,0.400,"10,617,423"," 50,816 ",1,75.1," 6,872 ",2,,,,,,,,,,,,,,,,,
38,Missouri,0.381,0.425,0.322,0.404,"6,137,428"," 47,407 ",0.7,70.4," 7,721 ",0,,,,,,,,,,,,,,,,,
39,Idaho,0.371,0.362,0.331,0.425,"1,787,065"," 40,566 ",0.5,70.6," 6,766 ",0,,,,,,,,,,,,,,,,,
40,New Mexico,0.365,0.304,0.452,0.354,"2,096,829"," 46,304 ",1.1,77.4," 10,207 ",10,,,,,,,,,,,,,,,,,
41,Texas,0.355,0.393,0.310,0.367,"28,995,881"," 61,682 ",1.2,84.7," 7,983 ",0,,,,,,,,,,,,,,,,,
42,Oklahoma,0.339,0.329,0.307,0.386,"3,956,971"," 50,876 ",1,66.2," 7,458 ",1,,,,,,,,,,,,,,,,,
43,Wyoming,0.308,0.361,0.286,0.282,"578,759"," 67,915 ",0.5,64.8," 15,354 ",0,,,,,,,,,,,,,,,,,
44,South Carolina,0.304,0.301,0.311,0.300,"5,148,714"," 41,457 ",0.9,66.3," 8,614 ",0,,,,,,,,,,,,,,,,,
45,Tennessee,0.299,0.315,0.341,0.249,"6,829,174"," 48,440 ",0.7,66.4," 6,918 ",1,,,,,,,,,,,,,,,,,
46,West Virginia,0.294,0.173,0.392,0.374,"1,792,147"," 40,265 ",0.3,48.7," 9,012 ",14,,,,,,,,,,,,,,,,,
47,Kentucky,0.277,0.308,0.272,0.253,"4,467,673"," 42,386 ",0.5,58.4," 8,847 ",0,,,,,,,,,,,,,,,,,
48,Alabama,0.238,0.240,0.356,0.158,"4,903,185"," 41,389 ",0.8,59.0," 8,516 ",3,,,,,,,,,,,,,,,,,
49,Arkansas,0.231,0.311,0.132,0.300,"3,017,804"," 39,580 ",0.8,56.2," 8,226 ",7,,,,,,,,,,,,,,,,,
50,Mississippi,0.182,0.175,0.271,0.127,"2,976,149"," 35,015 ",0.8,49.4," 8,748 ",4,,,,,,,,,,,,,,,,,
51,Louisiana,0.167,0.196,0.080,0.296,"4,648,794"," 51,729 ",0.9,73.2," 9,145 ",4,,,,,,,,,,,,,,,,,
Data source,Authors' calculations,,,,,U.S. Census Bureau 2019,Bureau of Economic Analysis n.d.,Shaw and Williams-Baron 2016,Iowa Community Indicators Program n.d.,Tax Policy Center 2020,NCSL 2020,NGA 2020,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"a. Per capita real gross domestic product(GDP), 2019 s. Source:""Per capita real GDP (SAGDP10)."" Bureau of Economic Analysis. Accessed August 07, 2020. https://apps.bea.gov/iTable/iTable.cfm?0=1200&1=1&2=200&3=sic&4=1&5=xx&6=-1&7=-1&8=-1&9=70&10=levels&isuri=1&reqid=70&step=10. ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"b. Racial diversity scores are measured in terms of the six racial and ethnic groups—namely White, Black, Asian,  Pacific Islander, American Indian and Alaska Native,  Hispanic, and other race or two or more races -- assessing the number of different groups in each state and the size of each group.  The minimum score, 0, indicates  only one racial or ethnic group  in the state.  Source: Table 1, Shaw, Elyse, and Emma Williams-Baron. ""Women of Color: Where They Are in the United States."" October 2016. Accessed August 7, 2020. https://iwpr.org/wp-content/uploads/2016/10/R472-Women-of-Color-18-10.19.pdf. [Add to reference list and cite here as author and date]",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"c. US Census Bureau Annual Survey of State and Local Governments Finances, 1977-2017, complied by the Tax Policy Center (2020).",,,,,,,,,,,,,,,,,,,,,,,,,,
,,d. Number of years during 2000-2020 when Democratic Party held governorship and majority in both chambers of the state legislatures. ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
