US WPS Index rank,State,Employment (2018),,Working poor (2019),,State legislature (2018),,College degree (2018),,Discriminatory normsa (2018),,Gun deaths (2018)b,,Community safetya (2018),
,,Women,Men,Women,Men,Women,Men,Women,Men,Women,Men,Women,Men,Women,Men
1,Massachusetts,43.4,60.0,3.6,2.2,28.5,71.5,44.5,43.9,19.5,20.5,0.3,6.9,67.5,80.8
2,Connecticut,42.5,59.0,3.5,2.4,32.1,67.9,40.3,38.9,19.5,20.5,0.7,9.2,67.5,80.8
3,District of Columbia,56.7,63.0,4.7,3.4,30.8,69.2,58.4,61.0,26.3,31.2,2.2,18.8,62.9,81.7
4,Vermont,44.0,56.8,4.4,3.4,40.0,60.0,42.0,35.6,19.5,20.5,0.0,20.4,67.5,80.8
5,Rhode Island,41.8,57.6,3.8,2.8,37.2,62.8,34.5,34.4,19.5,20.5,0.0,6.2,67.5,80.8
6,New Hampshire,44.9,61.6,2.4,1.7,34.2,65.8,38.3,36.3,19.5,20.5,2.5,17.6,67.5,80.8
7,Maryland,48.5,61.7,3.3,2.4,38.3,61.7,41.6,39.9,26.3,31.2,2.6,20.8,62.9,81.7
8,New York,42.8,57.4,5.1,3.9,32.4,67.6,38.2,35.9,16.9,14.8,0.9,7.5,57.7,83.9
9,Maine,43.2,56.3,4.5,3.0,37.6,62.4,32.8,28.1,19.5,20.5,1.9,20.4,67.5,80.8
10,Hawaii,46.0,58.5,3.3,2.8,31.6,68.4,34.9,31.8,22.2,33.3,0.0,5.6,40.7,66.1
11,New Jersey,44.2,62.4,3.6,2.7,31.7,68.3,40.8,40.1,16.9,14.8,0.8,8.6,57.7,83.9
12,Minnesota,45.8,61.7,4.3,3.2,31.3,68.7,38.4,35.7,12.6,20.1,0.8,14.1,63.5,79.3
13,Illinois,43.1,59.6,5.4,3.7,36.2,63.8,35.9,34.3,20.0,15.7,2.4,19.2,67.7,82.0
14,Colorado,46.1,63.6,4.8,3.5,46.0,54.0,43.0,41.2,11.1,34.1,4.4,25.2,49.5,83.7
15,California,40.5,58.4,5.1,4.6,31.7,68.3,34.6,34.2,22.2,33.3,1.8,13.0,40.7,66.1
16,Wisconsin,44.9,60.7,5.3,3.8,27.3,72.7,31.6,28.7,20.0,15.7,2.0,17.8,67.7,82.0
17,Pennsylvania,42.3,58.2,4.7,3.4,26.1,73.9,32.1,31.4,16.9,14.8,3.2,22.3,57.7,83.9
18,Oregon,40.4,56.5,5.5,4.5,42.2,57.8,34.9,33.8,22.2,33.3,3.2,20.1,40.7,66.1
19,Nebraska,47.0,64.9,5.6,4.4,28.6,71.4,33.8,31.6,12.6,20.1,1.2,15.7,63.5,79.3
20,North Dakota,49.7,66.9,4.9,3.8,22.0,78.0,31.4,26.1,12.6,20.1,3.0,19.0,63.5,79.3
21,Michigan,39.2,55.9,6.1,4.4,35.8,64.2,29.8,29.3,20.0,15.7,3.6,22.4,67.7,82.0
22,Delaware,44.3,56.3,4.9,3.1,24.2,75.8,32.9,29.3,26.3,31.2,3.0,31.5,62.9,81.7
23,Iowa,45.1,62.0,5.6,4.0,29.3,70.7,29.5,27.6,12.6,20.1,1.5,15.2,63.5,79.3
24,Washington,42.1,61.0,4.0,3.2,40.1,59.9,36.8,36.7,22.2,33.3,3.2,17.3,40.7,66.1
25,Ohio,42.4,58.0,6.2,3.9,27.3,72.7,29.3,28.3,20.0,15.7,3.7,22.5,67.7,82.0
26,Kansas,45.1,62.2,6.0,4.3,27.9,72.1,34.7,32.0,12.6,20.1,4.0,24.5,63.5,79.3
26,Virginia,45.8,62.2,4.6,3.0,26.4,73.6,39.8,39.2,26.3,31.2,3.8,20.2,62.9,81.7
28,Alaska,48.1,61.9,4.2,3.1,38.3,61.7,34.2,26.9,22.2,33.3,5.1,30.9,40.7,66.1
29,South Dakota,48.2,63.0,5.3,4.1,22.9,77.1,29.6,27.7,12.6,20.1,2.3,21.3,63.5,79.3
30,Florida,40.2,53.1,5.7,4.4,30.0,70.0,30.6,30.4,26.3,31.2,3.9,23.3,62.9,81.7
31,Arizona,40.3,55.2,5.7,5.8,38.9,61.1,29.3,30.0,11.1,34.1,4.0,26.6,49.5,83.7
32,Montana,41.3,59.0,6.3,5.0,30.7,69.3,32.1,28.9,11.1,34.1,3.8,28.4,49.5,83.7
32,North Carolina,42.7,58.4,6.6,4.7,25.3,74.7,33.2,30.4,26.3,31.2,4.1,22.7,62.9,81.7
34,Indiana,42.9,60.4,5.9,4.2,25.3,74.7,27.3,26.4,20.0,15.7,4.9,23.8,67.7,82.0
35,Nevada,43.9,57.1,5.0,4.3,52.4,47.6,25.2,24.8,11.1,34.1,6.3,28.3,49.5,83.7
36,Utah,37.9,64.2,5.2,3.9,25.0,75.0,33.6,37.1,11.1,34.1,3.0,20.1,49.5,83.7
37,Georgia,43.9,59.5,6.4,4.6,30.5,69.5,33.1,31.0,26.3,31.2,5.2,26.4,62.9,81.7
38,Missouri,44.4,57.1,5.8,4.3,23.9,76.1,30.4,28.7,12.6,20.1,7.0,35.4,63.5,79.3
39,Idaho,37.7,60.1,6.9,5.2,32.4,67.6,27.3,27.5,11.1,34.1,4.7,26.3,49.5,83.7
40,New Mexico,37.7,51.1,9.7,6.9,35.7,64.3,28.3,26.9,11.1,34.1,6.1,33.9,49.5,83.7
41,Texas,44.2,62.4,6.7,5.3,23.2,76.8,30.7,30.0,33.2,48.5,3.8,20.1,56.5,80.9
42,Oklahoma,43.1,58.4,7.0,5.4,21.5,78.5,26.5,25.0,33.2,48.5,5.4,27.8,56.5,80.9
43,Wyoming,44.7,63.8,5.7,4.5,15.6,84.4,28.5,26.0,11.1,34.1,8.8,31.9,49.5,83.7
44,South Carolina,42.2,55.1,7.2,4.5,16.5,83.5,28.7,27.7,26.3,31.2,5.3,29.5,62.9,81.7
45,Tennessee,43.0,57.2,6.5,5.0,15.2,84.8,27.7,26.8,29.4,32.1,5.8,30.1,40.7,76.8
46,West Virginia,36.4,49.9,7.3,4.8,13.4,86.6,21.7,20.8,26.3,31.2,6.6,29.4,62.9,81.7
47,Kentucky,40.2,54.5,7.2,5.3,23.2,76.8,26.3,24.1,29.4,32.1,5.0,27.4,40.7,76.8
48,Alabama,39.1,54.0,7.6,4.8,16.4,83.6,25.9,24.5,29.4,32.1,6.7,36.0,40.7,76.8
49,Arkansas,41.5,55.3,7.1,5.3,24.4,75.6,24.2,22.4,33.2,48.5,6.0,30.2,56.5,80.9
50,Mississippi,40.5,52.5,9.4,5.1,13.8,86.2,25.5,21.1,29.4,32.1,7.5,35.7,40.7,76.8
51,Louisiana,40.9,53.9,9.3,5.1,15.3,84.7,26.2,22.2,33.2,48.5,6.2,35.9,56.5,80.9
,National average (weighted),42.5,58.6,5.6,4.2,29.5,70.7,33.0,32.0,22.2,28.4,3.3,20.3,56.1,79.0
,Data source,Integrated Public Use Microdata Series USA 2020.,,Integrated Public Use Microdata Series USA 2020.,,CAWP 2020,,Integrated Public Use Microdata Series USA 2020.,,National Opinion Research Center 2018,,CDC 2018,,Centers for Disease Control 2017.,
,,,,,,,,,,,,,,,
,a.     State-level estimates use regional averages for the General Social Survey. See statistical table 1 for a list of states in each region. ,,,,,,,,,,,,,,
,b. State with fewer than 10 gun deaths have been rounded to 0. ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
